time,local_date,pm10,pm25,no2
8,2023-10-02T08:00:00+00:00,28.9,15.51,54.5
12,2023-10-02T12:00:00+00:00,37.9,19.74,32.0
16,2023-10-02T16:00:00+00:00,42.4,17.86,38.0
8,2023-10-03T08:00:00+00:00,20.4,9.4,-1.0
12,2023-10-03T12:00:00+00:00,6.9,2.35,12.5
16,2023-10-03T16:00:00+00:00,14.9,4.7,10.0
8,2023-10-04T08:00:00+00:00,17.4,7.05,27.0
12,2023-10-04T12:00:00+00:00,20.4,8.46,15.5
16,2023-10-04T16:00:00+00:00,20.9,7.05,14.0
8,2023-10-05T08:00:00+00:00,15.9,5.64,25.0
12,2023-10-05T12:00:00+00:00,24.4,7.52,26.5
16,2023-10-05T16:00:00+00:00,20.4,6.11,16.5
8,2023-10-06T08:00:00+00:00,17.9,7.52,26.5
12,2023-10-06T12:00:00+00:00,23.4,8.46,17.5
16,2023-10-06T16:00:00+00:00,23.9,8.46,15.5
8,2023-10-07T08:00:00+00:00,15.9,8.46,12.0
12,2023-10-07T12:00:00+00:00,17.4,7.99,12.5
16,2023-10-07T16:00:00+00:00,19.4,7.52,12.0
8,2023-10-08T08:00:00+00:00,18.4,8.46,22.5
12,2023-10-08T12:00:00+00:00,23.9,12.22,24.0
16,2023-10-08T16:00:00+00:00,27.9,11.28,14.0
8,2023-10-09T08:00:00+00:00,34.4,19.74,40.0
12,2023-10-09T12:00:00+00:00,46.9,24.91,-1.0
16,2023-10-09T16:00:00+00:00,42.9,18.8,27.0
8,2023-10-10T08:00:00+00:00,35.9,20.21,49.0
12,2023-10-10T12:00:00+00:00,38.4,17.39,26.0
16,2023-10-10T16:00:00+00:00,28.4,8.46,22.0
8,2023-10-11T08:00:00+00:00,25.9,12.22,24.0
12,2023-10-11T12:00:00+00:00,40.4,18.8,-1.0
16,2023-10-11T16:00:00+00:00,47.4,19.74,20.5
8,2023-10-12T08:00:00+00:00,23.9,12.69,24.5
12,2023-10-12T12:00:00+00:00,31.4,12.22,31.5
16,2023-10-12T16:00:00+00:00,19.9,9.87,17.5
8,2023-10-13T08:00:00+00:00,19.4,8.46,22.0
12,2023-10-13T12:00:00+00:00,40.9,14.1,14.5
16,2023-10-13T16:00:00+00:00,47.4,15.51,15.0
8,2023-10-14T08:00:00+00:00,15.9,6.11,13.5
12,2023-10-14T12:00:00+00:00,18.4,6.58,10.5
16,2023-10-14T16:00:00+00:00,13.4,5.17,7.0
8,2023-10-15T08:00:00+00:00,8.9,3.76,11.0
12,2023-10-15T12:00:00+00:00,10.4,3.76,14.0
16,2023-10-15T16:00:00+00:00,6.9,2.35,17.0
8,2023-10-16T08:00:00+00:00,20.9,12.69,42.0
12,2023-10-16T12:00:00+00:00,25.4,11.75,56.5
16,2023-10-16T16:00:00+00:00,8.4,3.29,16.0
8,2023-10-17T08:00:00+00:00,17.4,10.81,36.0
12,2023-10-17T12:00:00+00:00,-1.0,-1.0,21.0
16,2023-10-17T16:00:00+00:00,11.4,4.7,21.5
8,2023-10-18T08:00:00+00:00,14.4,7.52,30.5
12,2023-10-18T12:00:00+00:00,19.4,9.4,26.5
16,2023-10-18T16:00:00+00:00,20.9,7.52,25.5
8,2023-10-19T08:00:00+00:00,10.9,4.23,32.5
12,2023-10-19T12:00:00+00:00,23.9,7.05,27.5
16,2023-10-19T16:00:00+00:00,14.9,5.64,-1.0
8,2023-10-20T08:00:00+00:00,15.9,8.46,23.5
12,2023-10-20T12:00:00+00:00,9.4,4.23,29.0
16,2023-10-20T16:00:00+00:00,8.4,3.29,27.5
8,2023-10-21T08:00:00+00:00,10.4,5.17,14.0
12,2023-10-21T12:00:00+00:00,9.4,2.82,9.0
16,2023-10-21T16:00:00+00:00,13.4,5.64,12.0
8,2023-10-22T08:00:00+00:00,8.9,2.82,10.5
12,2023-10-22T12:00:00+00:00,10.4,5.17,12.0
16,2023-10-22T16:00:00+00:00,9.4,3.29,11.5
8,2023-10-23T08:00:00+00:00,13.9,6.58,31.0
12,2023-10-23T12:00:00+00:00,20.4,7.52,23.5
16,2023-10-23T16:00:00+00:00,16.4,7.52,24.0
8,2023-10-24T08:00:00+00:00,10.4,5.64,22.5
12,2023-10-24T12:00:00+00:00,15.4,7.99,22.0
8,2023-10-25T08:00:00+00:00,11.4,4.7,36.0
12,2023-10-25T12:00:00+00:00,10.4,4.7,31.0
16,2023-10-25T16:00:00+00:00,9.4,4.7,27.0
8,2023-10-26T08:00:00+00:00,23.9,18.33,36.0
12,2023-10-26T12:00:00+00:00,23.9,15.98,25.5
16,2023-10-26T16:00:00+00:00,15.4,9.4,26.0
8,2023-10-27T08:00:00+00:00,15.9,8.46,36.5
12,2023-10-27T12:00:00+00:00,12.4,5.17,21.5
16,2023-10-27T16:00:00+00:00,10.4,3.76,22.5
8,2023-10-28T08:00:00+00:00,11.4,4.7,17.5
12,2023-10-28T12:00:00+00:00,11.4,3.76,9.0
16,2023-10-28T16:00:00+00:00,16.4,6.58,11.0
8,2023-10-29T08:00:00+00:00,9.9,3.29,5.0
12,2023-10-29T12:00:00+00:00,13.9,4.7,11.0
16,2023-10-29T16:00:00+00:00,5.9,1.88,14.5
8,2023-10-30T08:00:00+00:00,13.4,5.17,29.0
12,2023-10-30T12:00:00+00:00,13.9,5.64,36.5
16,2023-10-30T16:00:00+00:00,8.9,3.76,40.5
8,2023-10-31T08:00:00+00:00,11.9,6.58,24.0
12,2023-10-31T12:00:00+00:00,17.4,9.87,16.5
16,2023-10-31T16:00:00+00:00,11.4,5.64,20.5
