time,local_date,sensor_id,pm10,pm25,no2,latitude,longitude
10,2023-10-07T10:00:00,3036,11.246,6.528,18.331,50.773131,6.095775
14,2023-10-07T14:00:00,3036,10.053,5.733,19.497,50.773131,6.095775
18,2023-10-07T18:00:00,3036,10.639,4.693,15.559,50.773131,6.095775
10,2023-10-08T10:00:00,3036,12.248,6.05,11.415,50.773131,6.095775
14,2023-10-08T14:00:00,3036,17.28,8.326,28.084,50.773131,6.095775
18,2023-10-08T18:00:00,3036,25.78,10.19,36.549,50.773131,6.095775
10,2023-10-26T10:00:00,3036,17.668,13.786,46.144,50.773131,6.095775
14,2023-10-26T14:00:00,3036,61.592,10.895,27.813,50.773131,6.095775
18,2023-10-26T18:00:00,3036,22.051,5.272,53.308,50.773131,6.095775
10,2023-10-27T10:00:00,3036,5.637,2.44,46.343,50.773131,6.095775
14,2023-10-27T14:00:00,3036,9.638,5.131,30.371,50.773131,6.095775
18,2023-10-27T18:00:00,3036,5.678,3.238,27.504,50.773131,6.095775
10,2023-10-28T10:00:00,3036,2.311,1.017,16.11,50.773131,6.095775
14,2023-10-28T14:00:00,3036,4.84,2.348,16.548,50.773131,6.095775
18,2023-10-28T18:00:00,3036,3.988,2.125,26.908,50.773131,6.095775
9,2023-10-29T09:00:00,3036,4.697,1.918,4.127,50.773131,6.095775
13,2023-10-29T13:00:00,3036,5.009,2.107,15.512,50.773131,6.095775
17,2023-10-29T17:00:00,3036,2.163,1.107,19.848,50.773131,6.095775
9,2023-10-30T09:00:00,3036,17.546,6.099,56.467,50.773131,6.095775
13,2023-10-30T13:00:00,3036,40.956,5.285,44.936,50.773131,6.095775
17,2023-10-30T17:00:00,3036,17.841,3.892,62.753,50.773131,6.095775
9,2023-10-31T09:00:00,3036,6.675,4.317,30.03,50.773131,6.095775
13,2023-10-31T13:00:00,3036,11.834,3.779,29.034,50.773131,6.095775
17,2023-10-31T17:00:00,3036,8.507,3.787,35.584,50.773131,6.095775
10,2023-10-02T10:00:00,4463,17.771,10.8725,10.0,49.719281,5.630398
14,2023-10-02T14:00:00,4463,13.271,7.488,7.5,49.719281,5.630398
18,2023-10-02T18:00:00,4463,26.271,11.356,11.5,49.719281,5.630398
10,2023-10-03T10:00:00,4463,13.271,6.521,3.5,49.719281,5.630398
18,2023-10-03T18:00:00,4463,1.271,0.0,2.0,49.719281,5.630398
10,2023-10-04T10:00:00,4463,5.771,1.686,7.5,49.719281,5.630398
14,2023-10-04T14:00:00,4463,5.271,2.653,2.5,49.719281,5.630398
18,2023-10-04T18:00:00,4463,8.271,4.1035,1.5,49.719281,5.630398
10,2023-10-05T10:00:00,4463,7.271,3.1365,9.5,49.719281,5.630398
14,2023-10-05T14:00:00,4463,8.771,4.587,4.5,49.719281,5.630398
18,2023-10-05T18:00:00,4463,7.271,2.653,2.0,49.719281,5.630398
10,2023-10-06T10:00:00,4463,5.771,1.686,6.0,49.719281,5.630398
14,2023-10-06T14:00:00,4463,11.271,5.0705,5.0,49.719281,5.630398
18,2023-10-06T18:00:00,4463,6.771,2.1695,2.5,49.719281,5.630398
10,2023-10-07T10:00:00,4463,11.271,6.0375,7.5,49.719281,5.630398
14,2023-10-07T14:00:00,4463,14.771,8.9385,7.0,49.719281,5.630398
18,2023-10-07T18:00:00,4463,7.271,2.653,1.0,49.719281,5.630398
10,2023-10-08T10:00:00,4463,10.271,5.0705,5.0,49.719281,5.630398
14,2023-10-08T14:00:00,4463,9.271,4.587,4.5,49.719281,5.630398
18,2023-10-08T18:00:00,4463,14.271,2.653,2.0,49.719281,5.630398
10,2023-10-09T10:00:00,4463,7.271,2.653,6.5,49.719281,5.630398
14,2023-10-09T14:00:00,4463,14.771,7.9715,7.5,49.719281,5.630398
18,2023-10-09T18:00:00,4463,7.771,1.686,3.0,49.719281,5.630398
10,2023-10-10T10:00:00,4463,7.771,3.1365,10.5,49.719281,5.630398
14,2023-10-10T14:00:00,4463,17.271,9.422,9.0,49.719281,5.630398
18,2023-10-10T18:00:00,4463,14.771,3.62,3.0,49.719281,5.630398
10,2023-10-11T10:00:00,4463,11.271,5.554,13.0,49.719281,5.630398
14,2023-10-11T14:00:00,4463,18.771,7.0045,5.5,49.719281,5.630398
18,2023-10-11T18:00:00,4463,25.271,6.0375,2.5,49.719281,5.630398
10,2023-10-12T10:00:00,4463,13.771,7.488,11.5,49.719281,5.630398
14,2023-10-12T14:00:00,4463,13.271,7.9715,-1.0,49.719281,5.630398
18,2023-10-12T18:00:00,4463,13.771,8.455,4.5,49.719281,5.630398
10,2023-10-13T10:00:00,4463,9.771,5.0705,-1.0,49.719281,5.630398
14,2023-10-13T14:00:00,4463,16.271,6.521,-1.0,49.719281,5.630398
18,2023-10-13T18:00:00,4463,24.771,5.554,-1.0,49.719281,5.630398
10,2023-10-14T10:00:00,4463,1.6355,0.3595,-1.0,49.719281,5.630398
14,2023-10-14T14:00:00,4463,2.271,0.0,-1.0,49.719281,5.630398
18,2023-10-14T18:00:00,4463,0.271,0.0,-1.0,49.719281,5.630398
10,2023-10-15T10:00:00,4463,0.271,0.0,5.0,49.719281,5.630398
14,2023-10-15T14:00:00,4463,0.271,0.0,2.0,49.719281,5.630398
18,2023-10-15T18:00:00,4463,0.771,0.0,2.0,49.719281,5.630398
10,2023-10-16T10:00:00,4463,2.771,0.719,7.0,49.719281,5.630398
14,2023-10-16T14:00:00,4463,1.771,0.0,4.5,49.719281,5.630398
18,2023-10-16T18:00:00,4463,0.771,0.0,3.0,49.719281,5.630398
10,2023-10-17T10:00:00,4463,2.271,0.0,6.5,49.719281,5.630398
14,2023-10-17T14:00:00,4463,3.771,1.686,7.0,49.719281,5.630398
18,2023-10-17T18:00:00,4463,6.771,2.653,5.5,49.719281,5.630398
10,2023-10-18T10:00:00,4463,4.271,2.653,7.5,49.719281,5.630398
14,2023-10-18T14:00:00,4463,7.771,5.0705,9.0,49.719281,5.630398
18,2023-10-18T18:00:00,4463,9.771,4.587,8.5,49.719281,5.630398
10,2023-10-19T10:00:00,4463,2.771,0.0,5.0,49.719281,5.630398
14,2023-10-19T14:00:00,4463,1.271,0.0,3.5,49.719281,5.630398
18,2023-10-19T18:00:00,4463,0.271,0.0,3.0,49.719281,5.630398
10,2023-10-20T10:00:00,4463,1.271,0.0,6.5,49.719281,5.630398
14,2023-10-20T14:00:00,4463,0.0,0.0,5.0,49.719281,5.630398
18,2023-10-20T18:00:00,4463,0.0,0.0,2.0,49.719281,5.630398
10,2023-10-21T10:00:00,4463,0.0,0.0,1.0,49.719281,5.630398
14,2023-10-21T14:00:00,4463,1.271,0.0,1.5,49.719281,5.630398
18,2023-10-21T18:00:00,4463,2.271,0.0,1.0,49.719281,5.630398
10,2023-10-22T10:00:00,4463,0.0,0.0,0.0,49.719281,5.630398
14,2023-10-22T14:00:00,4463,0.0,0.0,1.0,49.719281,5.630398
18,2023-10-22T18:00:00,4463,0.0,0.0,1.0,49.719281,5.630398
10,2023-10-23T10:00:00,4463,0.271,0.0,5.0,49.719281,5.630398
14,2023-10-23T14:00:00,4463,4.271,1.686,4.0,49.719281,5.630398
18,2023-10-23T18:00:00,4463,3.271,0.719,7.0,49.719281,5.630398
10,2023-10-24T10:00:00,4463,3.271,0.3595,6.5,49.719281,5.630398
14,2023-10-24T14:00:00,4463,2.271,0.3595,3.5,49.719281,5.630398
