time,local_date,pm10_x,pm25_x,no2_x,o3,so2,co_conc,nmvoc,no,pm10_y,pm25_y,no2_y
5,2023-10-02T05:00:00,23.622807,15.370908,29.520578,19.626213,6.461164,352.3566,33.29426,2.9166217,20.4,13.16,13.5
6,2023-10-02T06:00:00,24.718256,16.678854,37.035755,11.28501,7.758445,377.77298,44.041084,6.537874,20.9,13.16,13.5
7,2023-10-02T07:00:00,29.981192,17.207924,38.04267,9.972247,9.958854,429.0662,49.049583,14.291367,20.9,13.16,19.0
8,2023-10-02T08:00:00,31.512054,19.155565,37.01449,11.625385,10.980898,410.5986,47.699738,15.690773,20.9,14.57,29.0
9,2023-10-02T09:00:00,34.584785,21.074146,33.244488,19.322392,11.0157995,393.24368,50.44313,16.272726,24.9,15.04,47.5
10,2023-10-02T10:00:00,35.851643,20.429493,31.714369,28.737822,10.67572,373.75632,49.805252,12.50103,28.9,15.51,54.5
11,2023-10-02T11:00:00,29.140392,18.365574,25.711777,46.491623,7.580198,355.9706,43.66811,10.281801,41.4,18.8,56.5
12,2023-10-02T12:00:00,26.324406,16.22667,24.810936,55.22728,5.82083,346.66092,33.828674,7.2150664,42.9,18.8,49.0
13,2023-10-02T13:00:00,27.350698,15.973187,20.54022,65.42508,5.4573164,349.02426,34.985706,4.582105,34.9,17.86,37.0
14,2023-10-02T14:00:00,28.090818,17.39233,21.335007,75.84747,4.768367,327.12613,35.900482,3.8386712,37.9,19.74,32.0
15,2023-10-02T15:00:00,26.923458,18.030273,22.979797,79.76759,7.2837734,329.47705,36.45221,3.7482839,33.4,17.39,29.0
16,2023-10-02T16:00:00,27.377617,18.018612,25.019054,73.759575,7.08404,332.0033,42.59226,2.364672,34.9,15.98,25.0
17,2023-10-02T17:00:00,31.637846,19.009764,28.05632,63.039394,4.7092853,356.34628,47.45806,1.4260877,38.4,17.39,35.5
18,2023-10-02T18:00:00,34.42597,21.16542,36.32902,42.706974,5.4655585,410.1442,50.132023,0.7126175,42.4,17.86,38.0
19,2023-10-02T19:00:00,32.785484,22.506668,39.388393,33.697033,4.542926,399.40213,56.55119,0.7111254,36.4,16.92,30.5
20,2023-10-02T20:00:00,30.569489,22.131886,31.835949,27.915546,4.7671165,372.30118,53.2595,0.75610274,33.9,15.98,40.0
21,2023-10-02T21:00:00,28.483196,21.248514,26.389956,30.642212,4.0124702,368.92682,47.18626,0.5185541,37.4,18.33,58.5
22,2023-10-02T22:00:00,28.69811,20.425434,19.66903,44.801567,3.0775099,344.7345,45.34451,0.3116014,32.4,18.8,87.5
23,2023-10-02T23:00:00,30.809233,21.117327,16.761261,51.53573,3.200751,322.23666,41.83078,0.25104985,34.9,22.56,73.0
0,2023-10-03T00:00:00,29.45101,22.175081,12.792114,57.811745,3.644459,317.9338,33.710342,0.21845104,34.9,22.56,45.5
1,2023-10-03T01:00:00,29.11839,20.44088,10.782451,59.576504,3.5221603,292.21832,23.49953,0.14324898,28.9,19.74,37.5
2,2023-10-03T02:00:00,26.14127,17.094849,10.157237,63.221138,3.2774246,273.72925,21.266748,0.13189805,29.9,20.21,33.0
5,2023-10-03T05:00:00,23.761333,10.398021,11.028818,62.56242,4.1152644,182.28891,15.795221,0.3734044,34.9,22.09,9.5
6,2023-10-03T06:00:00,21.249292,10.50215,13.649569,60.324966,4.4310794,204.92851,14.257858,0.5455476,32.9,16.45,5.5
7,2023-10-03T07:00:00,19.169533,10.307754,15.942924,55.61635,4.6970596,247.81844,13.454727,0.69302785,27.4,14.57,7.5
