time,local_date,pm10_x,pm25_x,no2_x,o3,so2,co_conc,sensor_id,pm10_y,pm25_y,no2_y,latitude,longitude,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos
1,2023-10-01 01:00:00+00:00,14.153101,9.495198,19.321333,32.24732,1.4752004,290.63666,4878,15.4,7.99,22.5,51.209663,4.431821,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
2,2023-10-01 02:00:00+00:00,14.081491,8.523579,16.093033,34.553608,1.5061232,293.35074,4878,13.9,6.58,18.5,51.209663,4.431821,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
3,2023-10-01 03:00:00+00:00,13.870764,8.760846,16.056248,34.61162,1.6698322,283.18262,4878,14.4,7.52,17.5,51.209663,4.431821,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
4,2023-10-01 04:00:00+00:00,14.844534,8.798017,14.827021,33.18461,1.8326318,280.60532,4878,14.4,8.46,19.5,51.209663,4.431821,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
5,2023-10-01 05:00:00+00:00,14.973359,9.28154,15.84192,31.620811,2.1009328,291.15555,4878,15.9,8.93,-1.0,51.209663,4.431821,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
6,2023-10-01 06:00:00+00:00,16.444366,9.625999,16.433023,30.898087,1.9917934,298.79514,4878,17.9,9.87,-1.0,51.209663,4.431821,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
7,2023-10-01 07:00:00+00:00,17.28866,10.352269,16.565762,30.517696,2.6921043,304.9309,4878,18.4,10.34,26.0,51.209663,4.431821,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
8,2023-10-01 08:00:00+00:00,15.556058,10.855066,15.124916,38.829353,3.5579433,309.57193,4878,17.9,11.28,21.0,51.209663,4.431821,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
9,2023-10-01 09:00:00+00:00,14.933091,10.852436,13.4077425,46.73592,6.730261,316.45886,4878,17.9,10.34,15.0,51.209663,4.431821,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
10,2023-10-01 10:00:00+00:00,15.152029,10.271419,12.267264,55.61986,7.8216543,321.56924,4878,16.9,10.34,11.5,51.209663,4.431821,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
11,2023-10-01 11:00:00+00:00,15.499932,9.693753,7.359919,67.24113,6.0899763,316.3536,4878,16.9,9.87,11.5,51.209663,4.431821,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
12,2023-10-01 12:00:00+00:00,14.669314,10.254579,8.277854,76.180786,4.5110936,313.28268,4878,16.4,9.4,9.0,51.209663,4.431821,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
13,2023-10-01 13:00:00+00:00,16.707436,11.422447,7.4943776,82.85287,3.5761333,313.45392,4878,17.4,10.81,9.0,51.209663,4.431821,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
14,2023-10-01 14:00:00+00:00,14.523612,10.92996,7.6543565,85.51412,4.8676157,316.40982,4878,16.4,10.34,10.0,51.209663,4.431821,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
15,2023-10-01 15:00:00+00:00,16.69309,11.247853,8.6548,84.875015,4.1691236,304.2725,4878,16.4,9.87,10.5,51.209663,4.431821,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
16,2023-10-01 16:00:00+00:00,17.658724,11.422479,10.066314,83.08692,4.638423,321.7851,4878,17.9,10.81,16.0,51.209663,4.431821,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
17,2023-10-01 17:00:00+00:00,18.453564,11.258812,13.234205,77.27445,3.4815457,322.58994,4878,17.9,11.28,21.0,51.209663,4.431821,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
18,2023-10-01 18:00:00+00:00,20.258818,12.445455,12.139926,64.50395,2.210072,358.949,4878,20.9,12.69,39.5,51.209663,4.431821,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001
1,2023-10-02 01:00:00+00:00,20.0089,14.10432,17.02636,35.416756,1.3496901,322.91296,4878,20.4,13.16,13.5,51.209663,4.431821,0.25881904510252074,0.9659258262890683,0.0,1.0,-0.8660254037844386,0.5000000000000001
2,2023-10-02 02:00:00+00:00,18.265388,13.072213,20.420254,30.504648,1.3897079,330.1254,4878,20.9,13.16,13.5,51.209663,4.431821,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.8660254037844386,0.5000000000000001
3,2023-10-02 03:00:00+00:00,19.878523,13.652828,22.912271,31.08068,1.1459633,324.03317,4878,20.9,13.16,19.0,51.209663,4.431821,0.7071067811865476,0.7071067811865476,0.0,1.0,-0.8660254037844386,0.5000000000000001
4,2023-10-02 04:00:00+00:00,20.238182,13.929544,27.641483,24.109219,1.1823431,322.73056,4878,20.9,14.57,29.0,51.209663,4.431821,0.8660254037844386,0.5000000000000001,0.0,1.0,-0.8660254037844386,0.5000000000000001
5,2023-10-02 05:00:00+00:00,22.94981,14.200303,35.06281,12.760296,1.4315447,352.35657,4878,24.9,15.04,47.5,51.209663,4.431821,0.9659258262890683,0.25881904510252074,0.0,1.0,-0.8660254037844386,0.5000000000000001
9,2023-10-02 09:00:00+00:00,27.396948,18.529963,43.094654,21.052721,3.7252903,393.2437,4878,34.9,17.86,37.0,51.209663,4.431821,0.7071067811865476,-0.7071067811865475,0.0,1.0,-0.8660254037844386,0.5000000000000001
11,2023-10-02 11:00:00+00:00,25.482426,18.365574,25.711775,48.69048,4.831236,355.9706,4878,33.4,17.39,29.0,51.209663,4.431821,0.258819045102521,-0.9659258262890682,0.0,1.0,-0.8660254037844386,0.5000000000000001
12,2023-10-02 12:00:00+00:00,23.084862,15.604828,21.029474,62.591057,3.8562574,346.6609,4878,34.9,15.98,25.0,51.209663,4.431821,1.2246467991473532e-16,-1.0,0.0,1.0,-0.8660254037844386,0.5000000000000001
16,2023-10-02 16:00:00+00:00,24.353577,18.018606,26.036139,69.61659,3.2159734,351.46014,4878,33.9,15.98,40.0,51.209663,4.431821,-0.8660254037844385,-0.5000000000000004,0.0,1.0,-0.8660254037844386,0.5000000000000001
2,2023-10-03 02:00:00+00:00,26.14127,16.071589,9.824747,58.42177,2.3155735,280.8519,4878,32.9,16.45,5.5,51.209663,4.431821,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001
3,2023-10-03 03:00:00+00:00,24.22123,13.33154,13.817065,61.906506,3.0649972,267.18652,4878,27.4,14.57,7.5,51.209663,4.431821,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001
4,2023-10-03 04:00:00+00:00,27.01645,11.160707,10.795728,61.82313,3.3924153,220.57515,4878,31.9,10.81,6.5,51.209663,4.431821,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001
5,2023-10-03 05:00:00+00:00,24.41263,9.838938,11.215904,60.68746,3.2123353,182.28899,4878,28.4,9.87,10.5,51.209663,4.431821,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001
