local_date,sensor_id,pm10,pm25,no2,latitude,longitude
2023-12-03T01:00:00+01:00,4878,30.4,24.44,35.5,51.209663,4.431821
2023-12-03T00:00:00+01:00,4878,30.4,24.91,36.5,51.209663,4.431821
2023-12-02T23:00:00+01:00,4878,26.9,22.09,33.0,51.209663,4.431821
2023-12-02T22:00:00+01:00,4878,26.4,21.62,35.0,51.209663,4.431821
2023-12-02T21:00:00+01:00,4878,40.4,33.37,41.0,51.209663,4.431821
2023-12-02T20:00:00+01:00,4878,42.9,33.84,48.5,51.209663,4.431821
2023-12-02T19:00:00+01:00,4878,42.9,31.96,53.0,51.209663,4.431821
2023-12-02T18:00:00+01:00,4878,38.9,29.14,54.0,51.209663,4.431821
2023-12-02T17:00:00+01:00,4878,36.4,26.32,48.5,51.209663,4.431821
2023-12-02T16:00:00+01:00,4878,36.4,27.26,41.0,51.209663,4.431821
2023-12-02T15:00:00+01:00,4878,37.4,28.67,35.5,51.209663,4.431821
2023-12-02T14:00:00+01:00,4878,37.9,28.2,31.0,51.209663,4.431821
2023-12-02T13:00:00+01:00,4878,36.9,28.67,28.0,51.209663,4.431821
2023-12-02T12:00:00+01:00,4878,35.4,28.67,28.0,51.209663,4.431821
2023-12-02T11:00:00+01:00,4878,33.9,27.73,29.5,51.209663,4.431821
2023-12-02T10:00:00+01:00,4878,36.9,27.73,36.5,51.209663,4.431821
2023-12-02T09:00:00+01:00,4878,35.9,25.38,39.0,51.209663,4.431821
2023-12-02T08:00:00+01:00,4878,29.9,24.44,34.0,51.209663,4.431821
2023-12-02T07:00:00+01:00,4878,28.4,23.97,27.5,51.209663,4.431821
2023-12-02T06:00:00+01:00,4878,25.9,21.62,24.0,51.209663,4.431821
2023-12-02T05:00:00+01:00,4878,26.4,22.09,20.5,51.209663,4.431821
2023-12-02T04:00:00+01:00,4878,24.9,20.68,18.0,51.209663,4.431821
2023-12-02T03:00:00+01:00,4878,24.9,20.68,17.5,51.209663,4.431821
2023-12-02T02:00:00+01:00,4878,24.9,19.74,22.5,51.209663,4.431821
2023-12-02T01:00:00+01:00,4878,23.4,18.8,25.5,51.209663,4.431821
2023-12-02T00:00:00+01:00,4878,22.9,18.33,22.0,51.209663,4.431821
2023-12-01T23:00:00+01:00,4878,25.4,20.21,24.5,51.209663,4.431821
2023-12-01T22:00:00+01:00,4878,25.4,19.74,24.5,51.209663,4.431821
2023-12-01T21:00:00+01:00,4878,23.4,17.86,29.0,51.209663,4.431821
2023-12-01T20:00:00+01:00,4878,23.4,17.39,29.5,51.209663,4.431821
2023-12-01T19:00:00+01:00,4878,22.4,15.51,29.5,51.209663,4.431821
2023-12-01T18:00:00+01:00,4878,22.9,15.04,32.5,51.209663,4.431821
2023-12-01T17:00:00+01:00,4878,24.9,14.57,29.0,51.209663,4.431821
2023-12-01T16:00:00+01:00,4878,25.9,16.92,-1.0,51.209663,4.431821
2023-12-01T15:00:00+01:00,4878,32.4,22.09,-1.0,51.209663,4.431821
2023-12-01T14:00:00+01:00,4878,36.4,25.38,-1.0,51.209663,4.431821
2023-12-01T13:00:00+01:00,4878,35.9,28.2,-1.0,51.209663,4.431821
2023-12-01T12:00:00+01:00,4878,40.4,33.37,24.5,51.209663,4.431821
2023-12-01T11:00:00+01:00,4878,38.9,32.43,23.5,51.209663,4.431821
2023-12-01T10:00:00+01:00,4878,34.9,29.14,23.5,51.209663,4.431821
2023-12-01T09:00:00+01:00,4878,30.9,25.38,-1.0,51.209663,4.431821
2023-12-01T08:00:00+01:00,4878,28.9,23.5,24.5,51.209663,4.431821
2023-12-01T07:00:00+01:00,4878,30.9,25.85,26.0,51.209663,4.431821
2023-12-01T06:00:00+01:00,4878,33.9,29.14,21.5,51.209663,4.431821
2023-12-01T05:00:00+01:00,4878,34.4,28.67,21.0,51.209663,4.431821
2023-12-01T04:00:00+01:00,4878,38.9,33.37,28.5,51.209663,4.431821
2023-12-01T03:00:00+01:00,4878,34.9,29.61,25.0,51.209663,4.431821
2023-12-01T02:00:00+01:00,4878,34.9,29.61,22.5,51.209663,4.431821
