local_date,sensor_id,pm10,pm25,no2,latitude,longitude
2023-10-05T02:00:00,4878,12.4,4.7,11.5,51.209663,4.431821
2023-10-05T01:00:00,4878,15.4,6.58,18.5,51.209663,4.431821
2023-10-05T00:00:00,4878,17.4,7.52,20.5,51.209663,4.431821
2023-10-04T23:00:00,4878,19.4,7.99,27.5,51.209663,4.431821
2023-10-04T22:00:00,4878,22.9,9.87,30.5,51.209663,4.431821
2023-10-04T21:00:00,4878,18.4,7.52,22.0,51.209663,4.431821
2023-10-04T20:00:00,4878,15.9,6.58,16.5,51.209663,4.431821
2023-10-04T19:00:00,4878,17.9,6.58,11.5,51.209663,4.431821
2023-10-04T18:00:00,4878,20.9,7.05,14.0,51.209663,4.431821
2023-10-04T17:00:00,4878,20.4,6.58,18.0,51.209663,4.431821
2023-10-04T16:00:00,4878,17.9,7.05,15.5,51.209663,4.431821
2023-10-04T15:00:00,4878,20.4,8.46,13.5,51.209663,4.431821
2023-10-04T14:00:00,4878,20.4,8.46,15.5,51.209663,4.431821
2023-10-04T13:00:00,4878,22.9,7.99,18.0,51.209663,4.431821
2023-10-04T12:00:00,4878,18.9,7.52,21.5,51.209663,4.431821
2023-10-04T11:00:00,4878,20.9,7.52,27.5,51.209663,4.431821
2023-10-04T10:00:00,4878,17.4,7.05,27.0,51.209663,4.431821
2023-10-04T09:00:00,4878,13.9,5.64,22.0,51.209663,4.431821
2023-10-04T08:00:00,4878,13.9,5.64,14.0,51.209663,4.431821
2023-10-04T07:00:00,4878,12.9,5.64,9.5,51.209663,4.431821
2023-10-04T06:00:00,4878,12.9,5.64,10.0,51.209663,4.431821
2023-10-04T05:00:00,4878,12.9,5.64,9.5,51.209663,4.431821
2023-10-04T00:00:00,4878,13.4,5.17,14.0,51.209663,4.431821
2023-10-03T23:00:00,4878,13.9,5.17,19.5,51.209663,4.431821
2023-10-03T22:00:00,4878,12.9,4.7,22.5,51.209663,4.431821
2023-10-03T21:00:00,4878,11.4,3.76,14.5,51.209663,4.431821
2023-10-03T20:00:00,4878,15.4,4.23,9.5,51.209663,4.431821
2023-10-03T19:00:00,4878,16.9,4.23,9.0,51.209663,4.431821
2023-10-03T18:00:00,4878,14.9,4.7,10.0,51.209663,4.431821
2023-10-03T17:00:00,4878,13.4,3.76,7.5,51.209663,4.431821
2023-10-03T16:00:00,4878,8.9,2.35,10.0,51.209663,4.431821
2023-10-03T15:00:00,4878,10.4,2.82,11.5,51.209663,4.431821
2023-10-03T14:00:00,4878,6.9,2.35,12.5,51.209663,4.431821
2023-10-03T13:00:00,4878,13.4,3.76,11.5,51.209663,4.431821
2023-10-03T12:00:00,4878,17.9,7.99,14.5,51.209663,4.431821
2023-10-03T11:00:00,4878,19.9,9.4,-1.0,51.209663,4.431821
2023-10-03T10:00:00,4878,20.4,9.4,-1.0,51.209663,4.431821
2023-10-03T09:00:00,4878,28.4,9.87,10.5,51.209663,4.431821
2023-10-03T08:00:00,4878,31.9,10.81,6.5,51.209663,4.431821
2023-10-03T07:00:00,4878,27.4,14.57,7.5,51.209663,4.431821
2023-10-03T06:00:00,4878,32.9,16.45,5.5,51.209663,4.431821
2023-10-03T05:00:00,4878,34.9,22.09,9.5,51.209663,4.431821
2023-10-03T02:00:00,4878,29.9,20.21,33.0,51.209663,4.431821
2023-10-03T01:00:00,4878,28.9,19.74,37.5,51.209663,4.431821
2023-10-03T00:00:00,4878,34.9,22.56,45.5,51.209663,4.431821
2023-10-02T23:00:00,4878,34.9,22.56,73.0,51.209663,4.431821
2023-10-02T22:00:00,4878,32.4,18.8,87.5,51.209663,4.431821
