time,local_date,pm10,pm25,no2,o3,so2,co_conc
0,2023-10-02T00:00:00+00:00,13.504802,8.9286375,8.909448,41.54437,1.7316779,289.61166
1,2023-10-02T01:00:00+00:00,13.70792,8.843802,7.363888,40.31893,1.3569661,292.35394
2,2023-10-02T02:00:00+00:00,13.972574,8.746656,6.51408,39.939747,1.6880221,282.04587
3,2023-10-02T03:00:00+00:00,13.199196,7.7629404,5.5027246,49.62528,1.4988472,280.43564
4,2023-10-02T04:00:00+00:00,13.311471,7.821378,6.0609937,53.154842,1.360604,283.32397
5,2023-10-02T05:00:00+00:00,14.313251,8.183086,7.0430965,48.04505,1.3005774,311.43658
6,2023-10-02T06:00:00+00:00,16.946737,10.560135,10.393524,40.943512,1.4479156,319.2743
7,2023-10-02T07:00:00+00:00,18.09228,11.434608,13.045425,40.118706,1.7316779,342.39502
8,2023-10-02T08:00:00+00:00,18.843472,10.385176,13.223483,41.18567,2.240995,335.97635
9,2023-10-02T09:00:00+00:00,18.985939,9.89704,9.8981,48.25025,2.1973393,317.69016
10,2023-10-02T10:00:00+00:00,18.250198,8.478367,8.657235,62.32495,2.0372682,298.9415
11,2023-10-02T11:00:00+00:00,17.682598,8.346581,6.5287123,70.26369,1.8626451,299.8002
12,2023-10-02T12:00:00+00:00,17.802517,9.820442,4.7531586,80.08246,1.9208528,282.05038
13,2023-10-02T13:00:00+00:00,21.508083,10.681705,4.265677,86.82917,1.7098501,284.47192
14,2023-10-02T14:00:00+00:00,21.993578,11.529537,4.291289,90.2284,1.4915713,265.66205
15,2023-10-02T15:00:00+00:00,23.85302,13.024415,5.2482843,91.25579,1.207809,280.13373
16,2023-10-02T16:00:00+00:00,24.309921,15.119138,8.632049,87.21713,1.4952093,292.55402
17,2023-10-02T17:00:00+00:00,28.392767,17.800991,12.6272745,79.83958,1.4442776,314.8085
18,2023-10-02T18:00:00+00:00,30.787512,21.06916,20.005964,68.766,1.5606929,346.756
19,2023-10-02T19:00:00+00:00,31.342318,21.129486,18.4933,64.036835,1.5388651,321.64703
20,2023-10-02T20:00:00+00:00,28.163578,19.35883,15.13961,60.38892,1.5970727,328.67804
21,2023-10-02T21:00:00+00:00,26.12809,17.41251,9.62621,66.6756,1.4097168,325.09415
22,2023-10-02T22:00:00+00:00,25.149784,17.118397,7.971151,67.336075,1.2605597,328.87527
23,2023-10-02T23:00:00+00:00,24.995733,14.736254,4.9458737,65.44359,1.3224053,313.16223
0,2023-10-03T00:00:00+00:00,23.334276,14.582479,5.1096973,65.011765,1.4679245,291.86832
1,2023-10-03T01:00:00+00:00,21.108038,13.374958,4.8807626,66.83874,1.2532837,276.44595
2,2023-10-03T02:00:00+00:00,18.596102,11.294922,4.1622334,69.40482,1.1186785,240.16475
3,2023-10-03T03:00:00+00:00,17.585556,11.079632,3.246918,65.18069,1.5115802,227.43071
4,2023-10-03T04:00:00+00:00,15.702337,9.370821,3.0604756,57.27566,0.9276846,212.94994
5,2023-10-03T05:00:00+00:00,14.539156,8.105441,3.3087568,54.37193,1.0768417,183.42404
6,2023-10-03T06:00:00+00:00,13.340331,6.6184926,3.865687,53.469315,1.0550139,194.91675
7,2023-10-03T07:00:00+00:00,13.636026,7.2253203,5.7298284,52.50183,1.0986696,184.83769
8,2023-10-03T08:00:00+00:00,13.890543,7.1699066,5.004508,53.89581,1.2805686,176.21843
9,2023-10-03T09:00:00+00:00,13.2586,7.3425913,4.4439373,55.174957,1.1350493,164.63269
10,2023-10-03T10:00:00+00:00,10.932668,7.0610013,4.2292604,56.95051,0.8076313,159.11118
11,2023-10-03T11:00:00+00:00,9.027001,5.0400977,4.134572,57.43309,1.4006219,148.27145
12,2023-10-03T12:00:00+00:00,9.560737,6.1019287,1.6754673,55.619457,0.8803909,136.42163
13,2023-10-03T13:00:00+00:00,4.9344244,2.8698337,2.6177435,60.65178,0.9385985,141.40102
14,2023-10-03T14:00:00+00:00,6.453779,3.6295552,2.1229115,64.905106,1.3424141,159.14282
15,2023-10-03T15:00:00+00:00,5.664202,3.3539429,3.0245857,69.9613,0.9804353,173.4815
16,2023-10-03T16:00:00+00:00,5.1852365,3.0954027,3.967817,74.897575,0.81672627,192.47897
17,2023-10-03T17:00:00+00:00,5.2700257,3.0216832,4.183739,73.25082,0.8021743,195.56755
18,2023-10-03T18:00:00+00:00,4.7923765,2.9549532,3.6816583,65.996574,0.73305273,203.06345
19,2023-10-03T19:00:00+00:00,4.371719,1.608534,3.296165,59.952072,1.0422809,208.07266
20,2023-10-03T20:00:00+00:00,4.817723,1.5094659,3.190621,56.781574,1.029548,210.44923
21,2023-10-03T21:00:00+00:00,5.856969,1.7299306,2.5905879,56.13947,1.211447,219.71236
22,2023-10-03T22:00:00+00:00,6.7521815,1.6459346,3.0122464,51.96489,1.1059456,206.50192
23,2023-10-03T23:00:00+00:00,7.2709966,2.791511,2.7794158,48.572475,1.0550139,203.73901
0,2023-10-04T00:00:00+00:00,6.3403964,1.6444926,2.5793269,44.63618,1.4097168,201.05896
1,2023-10-04T01:00:00+00:00,5.6612854,2.2208955,2.4374459,43.96498,0.69485396,191.06647
2,2023-10-04T02:00:00+00:00,5.1974125,1.0984021,2.5998867,43.326614,0.77852744,201.7215
3,2023-10-04T03:00:00+00:00,4.1844244,0.85613745,2.284682,41.431385,0.76215655,209.44106
4,2023-10-04T04:00:00+00:00,5.52915,1.8451117,2.2166288,42.049408,0.79126036,234.57924
5,2023-10-04T05:00:00+00:00,6.338321,2.2717052,2.7885265,42.61451,0.81672627,266.70114
6,2023-10-04T06:00:00+00:00,8.186018,2.5487018,4.9238667,37.690968,0.96952134,260.09964
7,2023-10-04T07:00:00+00:00,8.600399,5.57624,7.1865335,29.442455,0.88402885,312.63486
8,2023-10-04T08:00:00+00:00,8.703544,4.6637535,6.797136,28.63888,0.6548362,278.455
9,2023-10-04T09:00:00+00:00,5.1454415,5.9742413,6.1918516,34.965073,0.4147296,328.0873
